"trip_id","route_id","service_id","trip_short_name","power_type","shape_id","bikes_allowed"
503458,729,"A23370","0B00",,,1
507695,729,"A21800","0B00",,,1
507696,729,"A23366","0B00",,,1
533106,730,"A23300","0B00",,,1
547929,730,"A23374","0B00",,,1
507697,731,"A23368","0B00",,,1
415441,732,"A21753","0B00",,,1
418323,732,"A21751","0B00",,,1
405969,733,"A21491","0B00",,,1
418324,733,"A21752","0B00",,,1
442791,733,"A21554","0B00",,,1
23993,734,"C01472 a","1B16","D",23993,1
23994,734,"C01472 b","1B16","D",23993,1
24676,734,"C01474","1B16","D",23993,1
85576,734,"L11855 a","1B16","D",23993,1
85577,734,"L11855 b","1B16","D",23993,1
85578,734,"L11855 c","1B16","D",23993,1
85579,734,"L11855 d","1B16","D",23993,1
85580,734,"L11855 e","1B16","D",23993,1
85581,734,"L11855 f","1B16","D",23993,1
85582,734,"L11855 g","1B16","D",23993,1
85583,734,"L11855 h","1B16","D",23993,1
85585,734,"L11855 j","1B16","D",23993,1
85586,734,"L11855 k","1B16","D",23993,1
85587,734,"L11855 l","1B16","D",23993,1
85588,734,"L11855 m","1B16","D",23993,1
223472,734,"L11857 a","1B16","D",23993,1
223473,734,"L11857 b","1B16","D",23993,1
223474,734,"L11857 c","1B16","D",23993,1
223475,734,"L11857 d","1B16","D",23993,1
223476,734,"L11857 e","1B16","D",23993,1
223477,734,"L11857 f","1B16","D",23993,1
223478,734,"L11857 g","1B16","D",23993,1
223479,734,"L11857 h","1B16","D",23993,1
223480,734,"L11857 i","1B16","D",23993,1
223481,734,"L11857 j","1B16","D",223481,1
223482,734,"L11857 k","1B16","D",23993,1
223483,734,"L11857 l","1B16","D",23993,1
223484,734,"L11857 m","1B16","D",23993,1
223485,734,"L11857 n","1B16","D",23993,1
223486,734,"L11857 o","1B16","D",23993,1
223487,734,"L11857 p","1B16","D",23993,1
223489,734,"L11857 r","1B16","D",23993,1
223490,734,"L11857 s","1B16","D",23993,1
223491,734,"L11857 t","1B16","D",23993,1
282865,734,"L11856 a","1B16","D",23993,1
282866,734,"L11856 b","1B16","D",23993,1
282867,734,"L11856 d","1B16","D",23993,1
282868,734,"L11856 e","1B16","D",23993,1
282869,734,"L11856 f","1B16","D",23993,1
282870,734,"L11856 g","1B16","D",23993,1
282871,734,"L11856 h","1B16","D",23993,1
282872,734,"L11856 i","1B16","D",23993,1
282873,734,"L11856 j","1B16","D",23993,1
282874,734,"L11856 k","1B16","D",23993,1
282875,734,"L11856 l","1B16","D",23993,1
282876,734,"L11856 m","1B16","D",223481,1
282877,734,"L11856 n","1B16","D",23993,1
282878,734,"L11856 o","1B16","D",23993,1
282879,734,"L11856 p","1B16","D",23993,1
282880,734,"L11856 q","1B16","D",23993,1
282881,734,"L11856 r","1B16","D",23993,1
282882,734,"L11856 s","1B16","D",23993,1
282883,734,"L11856 t","1B16","D",23993,1
282884,734,"L11856 u","1B16","D",23993,1
282885,734,"L11856 d2","1B16","D",23993,1
282886,734,"L11856 g3","1B16","D",23993,1
286515,734,"L11858 a","1B16","D",23993,1
286516,734,"L11858 b","1B16","D",23993,1
286517,734,"L11858 c","1B16","D",23993,1
286518,734,"L11858 d","1B16","D",23993,1
286519,734,"L11858 e","1B16","D",23993,1
286520,734,"L11858 f","1B16","D",23993,1
286521,734,"L11858 g","1B16","D",23993,1
286522,734,"L11858 h","1B16","D",223481,1
286523,734,"L11858 i","1B16","D",23993,1
286524,734,"L11858 j","1B16","D",23993,1
286525,734,"L11858 k","1B16","D",23993,1
560392,734,"L11859","1B16","D",23993,1
23995,735,"C01479","1B26","E",23995,1
24403,735,"C01480 a","1B26","E",23995,1
24404,735,"C01480 b","1B26","E",23995,1
25129,735,"C01478 a","1B26","E",23995,1
25130,735,"C01478 b","1B26","E",23995,1
223492,735,"L11863 a","1B26","E",23995,1
223493,735,"L11863 b","1B26","E",23995,1
223494,735,"L11863 c","1B26","E",23995,1
223495,735,"L11863 d","1B26","E",23995,1
223496,735,"L11863 e","1B26","E",23995,1
223497,735,"L11863 f","1B26","E",23995,1
223498,735,"L11863 g","1B26","E",23995,1
223499,735,"L11863 h","1B26","E",23995,1
282887,735,"L11861 a","1B26","E",23995,1
282888,735,"L11861 b","1B26","E",23995,1
282889,735,"L11861 c","1B26","E",23995,1
282890,735,"L11861 d","1B26","E",23995,1
282891,735,"L11861 e","1B26","E",23995,1
282892,735,"L11861 f","1B26","E",23995,1
282893,735,"L11861 g","1B26","E",23995,1
282894,735,"L11861 h","1B26","E",23995,1
282895,735,"L11861 i","1B26","E",23995,1
282896,735,"L11861 j","1B26","E",23995,1
285094,735,"L11860 a","1B26","E",23995,1
285095,735,"L11860 c","1B26","E",23995,1
285096,735,"L11860 d","1B26","E",23995,1
285097,735,"L11860 e","1B26","E",23995,1
285098,735,"L11860 g","1B26","E",23995,1
285099,735,"L11860 h","1B26","E",23995,1
285100,735,"L11860 i","1B26","E",23995,1
285101,735,"L11860 k","1B26","E",23995,1
285102,735,"L11860 m","1B26","E",23995,1
285103,735,"L11860 o","1B26","E",23995,1
285104,735,"L11860 p","1B26","E",23995,1
285105,735,"L11860 q","1B26","E",23995,1
285106,735,"L11860 r","1B26","E",23995,1
310043,735,"L11862 a","1B26","E",23995,1
310044,735,"L11862 b","1B26","E",23995,1
310045,735,"L11862 c","1B26","E",23995,1
310046,735,"L11862 d","1B26","E",23995,1
310047,735,"L11862 e","1B26","E",23995,1
310048,735,"L11862 f","1B26","E",23995,1
310049,735,"L11862 g","1B26","E",23995,1
310050,735,"L11862 h","1B26","E",23995,1
310051,735,"L11862 i","1B26","E",23995,1
310052,735,"L11862 j","1B26","E",23995,1
310053,735,"L11862 k","1B26","E",23995,1
85584,736,"L11855 i","1B16","D",85584,1
223488,736,"L11857 q","1B16","D",85584,1
23990,737,"C01463","1A25","D",23990,1
24401,737,"C01462 a","1A25","D",23990,1
24402,737,"C01462 b","1A25","D",23990,1
25128,737,"C01464","1A25","D",25128,1
223442,737,"L11847 a","1A25","D",23990,1
223443,737,"L11847 b","1A25","D",23990,1
223444,737,"L11847 c","1A25","D",23990,1
223445,737,"L11847 d","1A25","D",23990,1
223446,737,"L11847 e","1A25","D",23990,1
223447,737,"L11847 f","1A25","D",23990,1
223448,737,"L11847 g","1A25","D",23990,1
223449,737,"L11847 h","1A25","D",23990,1
223450,737,"L11847 i","1A25","D",23990,1
223451,737,"L11847 j","1A25","D",23990,1
223452,737,"L11847 k","1A25","D",23990,1
223453,737,"L11847 l","1A25","D",23990,1
223454,737,"L11847 m","1A25","D",23990,1
223455,737,"L11847 n","1A25","D",23990,1
223456,737,"L11847 o","1A25","D",23990,1
223457,737,"L11847 p","1A25","D",23990,1
223458,737,"L11847 q","1A25","D",23990,1
223459,737,"L11847 r","1A25","D",23990,1
223461,737,"L11847 t","1A25","D",23990,1
282832,737,"L11846 a","1A25","D",23990,1
282833,737,"L11846 b","1A25","D",23990,1
282834,737,"L11846 c","1A25","D",23990,1
282835,737,"L11846 d","1A25","D",23990,1
282836,737,"L11846 e","1A25","D",23990,1
282837,737,"L11846 f","1A25","D",23990,1
282838,737,"L11846 g","1A25","D",23990,1
282839,737,"L11846 h","1A25","D",23990,1
285068,737,"L11845 aa","1A25","D",23990,1
285069,737,"L11845 ab","1A25","D",23990,1
285070,737,"L11845 ad","1A25","D",23990,1
285071,737,"L11845 ae","1A25","D",23990,1
285072,737,"L11845 af","1A25","D",23990,1
285073,737,"L11845 ag","1A25","D",23990,1
285074,737,"L11845 ah","1A25","D",23990,1
285075,737,"L11845 ai","1A25","D",23990,1
285076,737,"L11845 aj","1A25","D",23990,1
285077,737,"L11845 al","1A25","D",23990,1
285078,737,"L11845 an","1A25","D",23990,1
285079,737,"L11845 ao","1A25","D",23990,1
285080,737,"L11845 aq","1A25","D",23990,1
285081,737,"L11845 ar","1A25","D",23990,1
285082,737,"L11845 as","1A25","D",23990,1
285083,737,"L11845 au","1A25","D",23990,1
285084,737,"L11845 av","1A25","D",23990,1
285085,737,"L11845 aw","1A25","D",23990,1
285086,737,"L11845 ay","1A25","D",23990,1
285087,737,"L11845 az","1A25","D",23990,1
285088,737,"L11845 ba","1A25","D",23990,1
285089,737,"L11845 bc","1A25","D",23990,1
285090,737,"L11845 bd","1A25","D",23990,1
285091,737,"L11845 be","1A25","D",23990,1
285092,737,"L11845 bf","1A25","D",23990,1
285093,737,"L11845 bg","1A25","D",23990,1
310035,737,"L11848 a","1A25","D",25128,1
310036,737,"L11848 b","1A25","D",25128,1
310037,737,"L11848 c","1A25","D",25128,1
310038,737,"L11848 d","1A25","D",25128,1
310039,737,"L11848 e","1A25","D",25128,1
310040,737,"L11848 f","1A25","D",25128,1
310041,737,"L11848 g","1A25","D",25128,1
310042,737,"L11848 h","1A25","D",25128,1
560428,737,"L11849","1A25","D",23990,1
23996,738,"C01484 a","1C11","E",23996,1
23997,738,"C01484 b","1C11","E",23996,1
24677,738,"C01482","1C11","E",23996,1
85589,738,"L11867 a","1C11","E",23996,1
85590,738,"L11867 b","1C11","E",23996,1
85591,738,"L11867 c","1C11","E",23996,1
85592,738,"L11867 d","1C11","E",23996,1
85593,738,"L11867 e","1C11","E",23996,1
85594,738,"L11867 f","1C11","E",23996,1
223500,738,"L11865 a","1C11","E",23996,1
223501,738,"L11865 b","1C11","E",23996,1
223502,738,"L11865 c","1C11","E",23996,1
223503,738,"L11865 d","1C11","E",23996,1
223504,738,"L11865 e","1C11","E",23996,1
223505,738,"L11865 f","1C11","E",23996,1
223506,738,"L11865 g","1C11","E",23996,1
223507,738,"L11865 h","1C11","E",23996,1
282897,738,"L11864 a","1C11","E",23996,1
282898,738,"L11864 c","1C11","E",23996,1
282899,738,"L11864 d","1C11","E",23996,1
282900,738,"L11864 e","1C11","E",23996,1
282901,738,"L11864 f","1C11","E",23996,1
282902,738,"L11864 g","1C11","E",23996,1
282903,738,"L11864 h","1C11","E",23996,1
282904,738,"L11864 i","1C11","E",23996,1
282905,738,"L11864 k","1C11","E",23996,1
282906,738,"L11864 l","1C11","E",23996,1
282907,738,"L11864 m","1C11","E",23996,1
282908,738,"L11864 n","1C11","E",23996,1
286526,738,"L11866","1C11","E",23996,1
223460,739,"L11847 s","1A25","D",223460,1
23998,740,"C01487","1Y11","D",23998,1
24405,740,"C01488 a","1Y11","D",23998,1
24406,740,"C01488 b","1Y11","D",23998,1
25131,740,"C01486","1Y11","D",23998,1
223578,740,"L11891 a","1Y11","D",23998,1
223579,740,"L11891 b","1Y11","D",23998,1
223580,740,"L11891 c","1Y11","D",23998,1
223581,740,"L11891 d","1Y11","D",23998,1
223582,740,"L11891 e","1Y11","D",23998,1
223583,740,"L11891 f","1Y11","D",23998,1
223584,740,"L11891 g","1Y11","D",23998,1
223585,740,"L11891 h","1Y11","D",23998,1
283001,740,"L11889 a","1Y11","D",23998,1
283002,740,"L11889 b","1Y11","D",23998,1
283003,740,"L11889 c","1Y11","D",23998,1
283004,740,"L11889 d","1Y11","D",23998,1
283005,740,"L11889 e","1Y11","D",23998,1
283006,740,"L11889 f","1Y11","D",23998,1
